Ministério da Saúde ­ MS
Secretaria de Atenção Primária à Saúde ­ SAPS
Departamento de Saúde da Família ­ DESF
Cobertura da Atenção Básica
Unidade Geográfica: TODOS OS MUNICÍPIOS
Período: Dezembro de 2018


Competência;Macrorregião;UF;IBGE;Município;População;Nº ESF Cob.;Nº EAB Param. Cob.;CH Médico;CH Enfermeiro;Nº eSF equivalente;Estim. Pop. Cob. ESF;Cobertura ESF;Estim. Pop. Cob. AB;Cobertura AB;
DEZ/2017;NORTE;AC;120001;ACRELÂNDIA;14.120;5;0;0;0;0;14.120;100%;14.120;100%;
DEZ/2017;NORTE;AC;120005;ASSIS BRASIL;6.863;3;0;0;1;0;6.863;100%;6.863;100%;
DEZ/2017;NORTE;AC;120010;BRASILÉIA;24.311;9;0;0;1;0;24.311;100%;24.311;100%;
DEZ/2017;NORTE;AC;120013;BUJARI;9.503;4;0;"0,66";2;0;9.503;100%;9.503;100%;
DEZ/2017;NORTE;AC;120017;CAPIXABA;10.820;4;0;0;0;0;10.820;100%;10.820;100%;
DEZ/2017;NORTE;AC;120020;CRUZEIRO DO SUL;82.075;39;0;"1,66";8;2;82.075;100%;82.075;100%;
DEZ/2017;NORTE;AC;120025;EPITACIOLÂNDIA;17.038;6;0;"0,66";0;0;17.038;100%;17.038;100%;
DEZ/2017;NORTE;AC;120030;FEIJÓ;32.372;8;0;0;0;0;27.600;"85,26%";27.600;"85,26%";
DEZ/2017;NORTE;AC;120032;JORDÃO;7.685;3;0;0;0;0;7.685;100%;7.685;100%;
DEZ/2017;NORTE;AC;120033;MÂNCIO LIMA;17.545;6;0;0;1;0;17.545;100%;17.545;100%;
DEZ/2017;NORTE;AC;120034;MANOEL URBANO;8.765;4;0;0;0;0;8.765;100%;8.765;100%;
DEZ/2017;NORTE;AC;120035;MARECHAL THAUMATURGO;17.401;5;0;0;0;0;17.250;"99,13%";17.250;"99,13%";
DEZ/2017;NORTE;AC;120038;PLÁCIDO DE CASTRO;18.336;8;0;"0,33";3;0;18.336;100%;18.336;100%;
DEZ/2017;NORTE;AC;120080;PORTO ACRE;17.111;4;0;"0,66";0;0;13.800;"80,65%";13.800;"80,65%";
DEZ/2017;NORTE;AC;120039;PORTO WALTER;11.059;4;0;0;1;0;11.059;100%;11.059;100%;
DEZ/2017;NORTE;AC;120040;RIO BRANCO;377.057;62;6;"22,43";"29,25";22;213.900;"56,73%";299.190;"79,35%";
DEZ/2017;NORTE;AC;120042;RODRIGUES ALVES;17.464;7;0;0;2;0;17.464;100%;17.464;100%;
DEZ/2017;NORTE;AC;120043;SANTA ROSA DO PURUS;6.021;2;0;0;1;0;6.021;100%;6.021;100%;
DEZ/2017;NORTE;AC;120050;SENA MADUREIRA;42.451;16;0;0;0;0;42.451;100%;42.451;100%;
DEZ/2017;NORTE;AC;120045;SENADOR GUIOMARD;21.369;8;0;"0,66";3;0;21.369;100%;21.369;100%;
DEZ/2017;NORTE;AC;120060;TARAUACÁ;39.427;10;0;0;0;0;34.500;"87,50%";34.500;"87,50%";
DEZ/2017;NORTE;AC;120070;XAPURI;17.894;6;0;0;0;0;17.894;100%;17.894;100%;
DEZ/2017;NORDESTE;AL;270010;ÁGUA BRANCA;20.422;5;0;"0,66";0;0;17.250;"84,47%";17.250;"84,47%";
