municipio,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
110001 Alta Floresta D'Oeste,-,-,1,-,2,2,6,4,12,3,3,18
110037 Alto Alegre dos Parecis,-,-,-,3,-,-,1,2,7,2,-,-
110040 Alto Paraíso,-,-,-,-,1,3,2,1,5,2,-,-
110034 Alvorada D'Oeste,-,-,-,1,-,-,2,-,6,3,7,3
110002 Ariquemes,-,-,1,9,22,23,56,62,74,66,69,40
110045 Buritis,-,-,-,1,-,14,14,23,41,51,55,32
110003 Cabixi,-,-,-,-,-,-,-,-,1,2,2,1
110060 Cacaulândia,-,-,-,1,-,-,-,1,-,-,-,1
110004 Cacoal,7,28,44,24,38,65,100,95,81,60,125,76
110070 Campo Novo de Rondônia,-,-,-,-,-,-,6,2,8,5,4,-
110080 Candeias do Jamari,-,-,-,-,-,6,15,13,7,8,13,8
110090 Castanheiras,-,-,-,-,-,1,1,-,-,-,-,-
110005 Cerejeiras,-,-,-,4,-,2,3,7,5,12,4,2
110092 Chupinguaia,-,-,-,-,-,-,2,-,6,10,2,4
110006 Colorado do Oeste,-,1,-,5,2,-,4,16,15,26,8,2
110007 Corumbiara,-,-,1,-,-,2,1,1,1,3,6,1
110008 Costa Marques,-,-,-,-,-,-,-,-,-,-,3,-
110094 Cujubim,-,-,-,-,5,6,6,11,19,17,7,3
110009 Espigão D'Oeste,-,-,-,6,1,1,9,23,14,17,9,9
110100 Governador Jorge Teixeira,-,-,-,-,-,-,2,-,-,-,2,-
110010 Guajará-Mirim,-,-,1,2,1,6,2,19,44,51,39,31
110110 Itapuã do Oeste,-,-,-,-,-,-,1,1,2,1,-,-
110011 Jaru,-,1,-,2,-,6,9,8,51,32,24,2
110012 Ji-Paraná,-,-,-,2,2,84,206,142,132,77,98,48
110013 Machadinho D'Oeste,-,-,-,-,5,1,1,12,45,33,23,7
110120 Ministro Andreazza,-,-,-,-,-,-,2,-,-,1,2,-
110130 Mirante da Serra,-,-,-,-,-,1,-,-,3,-,2,1
110140 Monte Negro,-,-,2,-,3,7,5,9,26,12,13,7
