Ministério da Saúde ­ MS
Secretaria de Atenção Primária à Saúde ­ SAPS
Departamento de Saúde da Família ­ DESF
Cobertura da Atenção Básica
Unidade Geográfica: TODOS OS MUNICÍPIOS
Período: Dezembro de 2016


Competência;Macrorregião;UF;IBGE;Município;População;Nº ESF Cob.;Nº EAB Param. Cob.;CH Médico;CH Enfermeiro;Nº eSF equivalente;Estim. Pop. Cob. ESF;Cobertura ESF;Estim. Pop. Cob. AB;Cobertura AB;
DEZ/2016;NORTE;AC;120001;ACRELÂNDIA;13.869;5;0;0;0;0;13.869;100%;13.869;100%;
DEZ/2016;NORTE;AC;120005;ASSIS BRASIL;6.738;3;0;0;0;0;6.738;100%;6.738;100%;
DEZ/2016;NORTE;AC;120010;BRASILÉIA;23.849;9;0;0;0;0;23.849;100%;23.849;100%;
DEZ/2016;NORTE;AC;120013;BUJARI;9.339;4;0;0;1;0;9.339;100%;9.339;100%;
DEZ/2016;NORTE;AC;120017;CAPIXABA;10.498;4;0;0;0;0;10.498;100%;10.498;100%;
DEZ/2016;NORTE;AC;120020;CRUZEIRO DO SUL;81.519;38;0;"2,33";2;2;81.519;100%;81.519;100%;
DEZ/2016;NORTE;AC;120025;EPITACIOLÂNDIA;16.731;6;0;0;1;0;16.731;100%;16.731;100%;
DEZ/2016;NORTE;AC;120030;FEIJÓ;32.385;8;0;0;0;0;27.600;"85,22%";27.600;"85,22%";
DEZ/2016;NORTE;AC;120032;JORDÃO;7.509;3;0;0;"0,80";0;7.509;100%;7.509;100%;
DEZ/2016;NORTE;AC;120033;MÂNCIO LIMA;17.173;5;0;"0,66";0;0;17.173;100%;17.173;100%;
DEZ/2016;NORTE;AC;120034;MANOEL URBANO;8.641;4;0;"1,20";1;1;8.641;100%;8.641;100%;
DEZ/2016;NORTE;AC;120035;MARECHAL THAUMATURGO;16.895;5;0;0;0;0;16.895;100%;16.895;100%;
DEZ/2016;NORTE;AC;120038;PLÁCIDO DE CASTRO;18.159;8;0;0;0;0;18.159;100%;18.159;100%;
DEZ/2016;NORTE;AC;120080;PORTO ACRE;16.757;5;0;0;0;0;16.757;100%;16.757;100%;
DEZ/2016;NORTE;AC;120039;PORTO WALTER;10.759;3;0;0;0;0;10.350;"96,20%";10.350;"96,20%";
DEZ/2016;NORTE;AC;120040;RIO BRANCO;370.550;59;10;"13,50";"23,50";14;203.550;"54,93%";274.050;"73,96%";
DEZ/2016;NORTE;AC;120042;RODRIGUES ALVES;16.974;5;0;"0,66";1;0;16.974;100%;16.974;100%;
DEZ/2016;NORTE;AC;120043;SANTA ROSA DO PURUS;5.809;2;0;0;1;0;5.809;100%;5.809;100%;
DEZ/2016;NORTE;AC;120050;SENA MADUREIRA;41.750;15;0;0;0;0;41.750;100%;41.750;100%;
DEZ/2016;NORTE;AC;120045;SENADOR GUIOMARD;21.182;8;0;0;0;0;21.182;100%;21.182;100%;
DEZ/2016;NORTE;AC;120060;TARAUACÁ;38.819;10;0;0;0;0;34.500;"88,87%";34.500;"88,87%";
DEZ/2016;NORTE;AC;120070;XAPURI;17.608;6;0;0;0;0;17.608;100%;17.608;100%;
DEZ/2016;NORDESTE;AL;270010;ÁGUA BRANCA;20.434;5;0;0;0;0;17.250;"84,42%";17.250;"84,42%";
DEZ/2016;NORDESTE;AL;270020;ANADIA;17.847;7;0;0;1;0;17.847;100%;17.847;100%;
DEZ/2016;NORDESTE;AL;270030;ARAPIRACA;231.053;60;0;"2,03";1;1;207.000;"89,59%";210.000;"90,89%";
DEZ/2016;NORDESTE;AL;270040;ATALAIA;47.298;15;0;"1,20";"0,50";0;47.298;100%;47.298;100%;
DEZ/2016;NORDESTE;AL;270050;BARRA DE SANTO ANTÔNIO;15.742;6;0;"1,73";"1,50";2;15.742;100%;15.742;100%;
DEZ/2016;NORDESTE;AL;270060;BARRA DE SÃO MIGUEL;8.266;3;0;0;0;0;8.266;100%;8.266;100%;
DEZ/2016;NORDESTE;AL;270070;BATALHA;18.496;7;0;0;1;0;18.496;100%;18.496;100%;
DEZ/2016;NORDESTE;AL;270080;BELÉM;4.585;2;0;"0,10";0;0;4.585;100%;4.585;100%;
DEZ/2016;NORDESTE;AL;270090;BELO MONTE;6.775;3;0;"0,20";0;0;6.775;100%;6.775;100%;
DEZ/2016;NORDESTE;AL;270100;BOCA DA MATA;27.399;11;0;0;0;0;27.399;100%;27.399;100%;
DEZ/2016;NORDESTE;AL;270110;BRANQUINHA;10.745;5;0;0;"1,25";0;10.745;100%;10.745;100%;
