uf,municipio,IBGE,benzatina_1,benzatina_2,benzatina_998,ciclo,benzatina_9997,proc.pot_1,proc.pot_2,proc.pot_998,proc.pot_9997
RO,Porto Velho,110012,8,3,0,Ciclo 1,NA,6,5,NA,NA
AC,Rio Branco,120040,13,21,33,Ciclo 1,NA,11,23,33,NA
AM,Manaus,130260,12,213,0,Ciclo 1,NA,11,214,NA,NA
RR,Boa Vista,140010,15,21,0,Ciclo 1,NA,2,34,NA,NA
PA,Belém,150140,24,49,0,Ciclo 1,NA,7,66,NA,NA
PA,Bragança,150170,16,5,0,Ciclo 1,NA,6,15,NA,NA
PA,Marabá,150420,6,10,0,Ciclo 1,NA,1,15,NA,NA
PA,Marituba,150442,5,9,0,Ciclo 1,NA,1,13,NA,NA
PA,Parauapebas,150553,14,1,0,Ciclo 1,NA,2,13,NA,NA
AP,Macapá,160030,31,18,0,Ciclo 1,NA,13,36,NA,NA
TO,Araguaína,170210,7,10,0,Ciclo 1,NA,4,13,NA,NA
TO,Palmas,172100,5,28,0,Ciclo 1,NA,2,31,NA,NA
MA,Paço do Lumiar,210750,6,4,0,Ciclo 1,NA,1,9,NA,NA
MA,São Luís,211130,37,13,0,Ciclo 1,NA,21,29,NA,NA
MA,Timon,211220,2,35,0,Ciclo 1,NA,2,35,NA,NA
PI,Parnaíba,220770,1,30,0,Ciclo 1,NA,1,30,NA,NA
PI,Teresina,221100,1,1,80,Ciclo 1,NA,1,1,80,NA
CE,Caucaia,230370,2,44,0,Ciclo 1,NA,1,45,NA,NA
CE,Fortaleza,230440,50,10,31,Ciclo 1,NA,40,20,31,NA
CE,Maracanaú,230765,22,8,0,Ciclo 1,NA,22,8,NA,NA
RN,Parnamirim,240325,2,19,0,Ciclo 1,NA,3,18,NA,NA
RN,Natal,240810,0,1,52,Ciclo 1,NA,0,1,52,NA
PB,João Pessoa,250750,0,100,51,Ciclo 1,NA,0,100,51,NA
PB,Santa Rita,251370,0,42,0,Ciclo 1,NA,0,42,NA,NA
PE,Cabo de Santo Agostinho,260290,1,39,0,Ciclo 1,NA,0,40,NA,NA
PE,Camaragibe,260345,0,39,0,Ciclo 1,NA,0,39,NA,NA
PE,Igarassu,260680,1,30,0,Ciclo 1,NA,0,31,NA,NA
PE,Jaboatão dos Guararapes,260790,0,0,90,Ciclo 1,NA,0,0,90,NA
PE,Olinda,260960,4,36,0,Ciclo 1,NA,1,39,NA,NA
PE,Petrolina,261110,2,49,0,Ciclo 1,NA,0,51,NA,NA
PE,Recife,261160,82,57,0,Ciclo 1,NA,9,130,NA,NA
PE,São Lourenço da Mata,261370,4,11,0,Ciclo 1,NA,0,15,NA,NA
AL,Maceió,270430,30,7,0,Ciclo 1,NA,5,32,NA,NA
SE,Aracaju,280030,39,4,0,Ciclo 1,NA,33,10,NA,NA
SE,Nossa Senhora do Socorro,280480,19,3,0,Ciclo 1,NA,4,18,NA,NA
BA,Camaçari,290570,19,17,0,Ciclo 1,NA,6,30,NA,NA
BA,Porto Seguro,292530,15,13,0,Ciclo 1,NA,12,16,NA,NA
BA,Salvador,292740,91,16,0,Ciclo 1,NA,30,77,NA,NA
BA,Teixeira de Freitas,293135,1,33,0,Ciclo 1,NA,0,34,NA,NA
MG,Belo Horizonte,310620,130,17,0,Ciclo 1,NA,108,39,NA,NA
MG,Governador Valadares,312770,10,41,15,Ciclo 1,NA,1,50,15,NA
MG,Juiz de Fora,313670,0,1,62,Ciclo 1,NA,0,1,62,NA
MG,Ribeirão das Neves,315460,7,50,0,Ciclo 1,NA,6,51,NA,NA
MG,Sabará,315670,9,6,0,Ciclo 1,NA,2,13,NA,NA
MG,Santa Luzia,315780,0,24,0,Ciclo 1,NA,0,24,NA,NA
MG,Teófilo Otoni,316860,0,38,0,Ciclo 1,NA,0,38,NA,NA
MG,Vespasiano,317120,5,10,0,Ciclo 1,NA,2,13,NA,NA
ES,Cariacica,320130,1,27,0,Ciclo 1,NA,0,28,NA,NA
ES,Guarapari,320240,0,21,0,Ciclo 1,NA,0,21,NA,NA
ES,Linhares,320320,1,28,0,Ciclo 1,NA,0,29,NA,NA
ES,São Mateus,320490,0,25,0,Ciclo 1,NA,1,24,NA,NA
ES,Serra,320500,21,13,0,Ciclo 1,NA,16,18,NA,NA
ES,Vila Velha,320520,9,7,0,Ciclo 1,NA,5,11,NA,NA
ES,Vitória,320530,15,6,5,Ciclo 1,NA,14,7,5,NA
RJ,Belford Roxo,330045,10,17,0,Ciclo 1,NA,9,18,NA,NA
RJ,Duque de Caxias,330170,1,82,0,Ciclo 1,NA,1,82,NA,NA
RJ,Itaboraí,330190,4,36,0,Ciclo 1,NA,0,40,NA,NA
RJ,Magé,330250,13,48,0,Ciclo 1,NA,8,53,NA,NA
RJ,Maricá,330270,3,20,0,Ciclo 1,NA,1,22,NA,NA
RJ,Mesquita,330285,0,21,0,Ciclo 1,NA,0,21,NA,NA
