municipio,IBGE,uf,c1,c2,c3,c999,ciclo
Porto Velho,110012,RO,9,2,0,0,Ciclo 1
Rio Branco,120040,AC,50,12,5,0,Ciclo 1
Manaus,130260,AM,200,13,12,0,Ciclo 1
Boa Vista,140010,RR,15,16,5,0,Ciclo 1
Belém,150140,PA,46,15,12,0,Ciclo 1
Bragança,150170,PA,17,0,4,0,Ciclo 1
Marabá,150420,PA,12,3,1,0,Ciclo 1
Marituba,150442,PA,11,2,1,0,Ciclo 1
Parauapebas,150553,PA,12,2,1,0,Ciclo 1
Macapá,160030,AP,24,7,18,0,Ciclo 1
Araguaína,170210,TO,17,0,0,0,Ciclo 1
Palmas,172100,TO,27,3,3,0,Ciclo 1
Paço do Lumiar,210750,MA,9,1,0,0,Ciclo 1
São Luís,211130,MA,29,14,7,0,Ciclo 1
Timon,211220,MA,33,1,3,0,Ciclo 1
Parnaíba,220770,PI,13,9,9,0,Ciclo 1
Teresina,221100,PI,69,9,4,0,Ciclo 1
Caucaia,230370,CE,39,6,1,0,Ciclo 1
Fortaleza,230440,CE,41,48,2,0,Ciclo 1
Maracanaú,230765,CE,28,0,2,0,Ciclo 1
Parnamirim,240325,RN,20,1,0,0,Ciclo 1
Natal,240810,RN,49,4,0,0,Ciclo 1
João Pessoa,250750,PB,129,15,7,0,Ciclo 1
Santa Rita,251370,PB,36,1,5,0,Ciclo 1
Cabo de Santo Agostinho,260290,PE,33,0,7,0,Ciclo 1
Camaragibe,260345,PE,37,2,0,0,Ciclo 1
Igarassu,260680,PE,30,1,0,0,Ciclo 1
Jaboatão dos Guararapes,260790,PE,75,9,6,0,Ciclo 1
Olinda,260960,PE,32,0,8,0,Ciclo 1
Petrolina,261110,PE,23,18,10,0,Ciclo 1
Recife,261160,PE,127,8,4,0,Ciclo 1
São Lourenço da Mata,261370,PE,10,0,5,0,Ciclo 1
Maceió,270430,AL,19,7,11,0,Ciclo 1
Aracaju,280030,SE,40,1,2,0,Ciclo 1
Nossa Senhora do Socorro,280480,SE,19,0,3,0,Ciclo 1
Camaçari,290570,BA,19,13,4,0,Ciclo 1
Porto Seguro,292530,BA,26,1,1,0,Ciclo 1
Salvador,292740,BA,74,24,9,0,Ciclo 1
Teixeira de Freitas,293135,BA,31,1,2,0,Ciclo 1
Belo Horizonte,310620,MG,122,16,9,0,Ciclo 1
Governador Valadares,312770,MG,50,4,12,0,Ciclo 1
Juiz de Fora,313670,MG,57,2,4,0,Ciclo 1
Ribeirão das Neves,315460,MG,56,1,0,0,Ciclo 1
Sabará,315670,MG,15,0,0,0,Ciclo 1
Santa Luzia,315780,MG,23,1,0,0,Ciclo 1
Teófilo Otoni,316860,MG,16,16,6,0,Ciclo 1
Vespasiano,317120,MG,8,0,7,0,Ciclo 1
Cariacica,320130,ES,23,0,5,0,Ciclo 1
Guarapari,320240,ES,15,0,6,0,Ciclo 1
Linhares,320320,ES,25,1,3,0,Ciclo 1
São Mateus,320490,ES,23,0,2,0,Ciclo 1
Serra,320500,ES,24,8,2,0,Ciclo 1
Vila Velha,320520,ES,13,1,2,0,Ciclo 1
Vitória,320530,ES,25,0,1,0,Ciclo 1
Belford Roxo,330045,RJ,20,4,3,0,Ciclo 1
Duque de Caxias,330170,RJ,58,18,7,0,Ciclo 1
Itaboraí,330190,RJ,35,2,3,0,Ciclo 1
Magé,330250,RJ,40,17,4,0,Ciclo 1
Maricá,330270,RJ,14,3,6,0,Ciclo 1
Mesquita,330285,RJ,15,2,4,0,Ciclo 1
