codigo,municipio,ano,casos,sigla_uf,populacao,casos100k,,
110012,Ji-Paraná,2010,NA,RO,116610,NA,,
110012,Ji-Paraná,2011,NA,RO,117363,NA,,
110012,Ji-Paraná,2012,NA,RO,118092,NA,,
110012,Ji-Paraná,2013,2,RO,128026,"1,56218268164279",,2
110012,Ji-Paraná,2014,2,RO,129242,"1,54748456384148",,
110012,Ji-Paraná,2015,84,RO,130419,"64,4077933429945",,
110012,Ji-Paraná,2016,206,RO,131560,"156,582547886896",,
110012,Ji-Paraná,2017,142,RO,132667,"107,03490694747",,
110012,Ji-Paraná,2018,132,RO,127907,"103,199981236367",,
110012,Ji-Paraná,2019,77,RO,128969,"59,7042700183765",,
110012,Ji-Paraná,2020,98,RO,130009,"75,37939681099",,
110012,Ji-Paraná,2021,48,RO,131026,"36,6339505136385",,
120040,Rio Branco,2010,4,AC,336038,"1,19034156851309",,
120040,Rio Branco,2011,7,AC,342299,"2,04499574933026",,
120040,Rio Branco,2012,NA,AC,348354,NA,,
120040,Rio Branco,2013,NA,AC,357194,NA,,
120040,Rio Branco,2014,1,AC,363928,"0,274779626739355",,
120040,Rio Branco,2015,2,AC,370550,"0,539738226959924",,
120040,Rio Branco,2016,2,AC,377057,"0,530423782080693",,
120040,Rio Branco,2017,3,AC,383443,"0,782384865547161",,
120040,Rio Branco,2018,1,AC,401155,"0,249280203412646",,
120040,Rio Branco,2019,5,AC,407319,"1,22753910325813",,
120040,Rio Branco,2020,22,AC,413418,"5,32149059789366",,
120040,Rio Branco,2021,282,AC,419452,"67,2305770386123",,
130260,Manaus,2010,58,AM,1802014,"3,21862094301154",,
130260,Manaus,2011,173,AM,1832424,"9,44104639537574",,
130260,Manaus,2012,515,AM,1861838,"27,6608383758415",,
130260,Manaus,2013,747,AM,1982177,"37,6858373394505",,
130260,Manaus,2014,642,AM,2020301,"31,7774430641771",,
130260,Manaus,2015,439,AM,2057711,"21,3343856353006",,
130260,Manaus,2016,617,AM,2094391,"29,4596376703299",,
130260,Manaus,2017,1120,AM,2130264,"52,5756432066636",,
130260,Manaus,2018,1909,AM,2145444,"88,9792509149621",,
130260,Manaus,2019,3432,AM,2182763,"157,231912030761",,
130260,Manaus,2020,2488,AM,2219580,"112,093278908622",,
130260,Manaus,2021,1108,AM,2255903,"49,1155869733761",,
140010,Boa Vista,2010,NA,RR,284313,NA,,
140010,Boa Vista,2011,NA,RR,290741,NA,,
