uf,municipio,IBGE,c0,c1,c2,c3,c4,ciclo
RO,Porto Velho,110012,0,1,10,NA,NA,Ciclo 1
AC,Rio Branco,120040,0,7,60,NA,NA,Ciclo 1
AM,Manaus,130260,0,7,218,NA,NA,Ciclo 1
RR,Boa Vista,140010,6,21,9,NA,NA,Ciclo 1
PA,Belém,150140,1,11,61,NA,NA,Ciclo 1
PA,Bragança,150170,1,9,11,NA,NA,Ciclo 1
PA,Marabá,150420,0,0,16,NA,NA,Ciclo 1
PA,Marituba,150442,1,3,10,NA,NA,Ciclo 1
PA,Parauapebas,150553,1,14,0,NA,NA,Ciclo 1
AP,Macapá,160030,3,7,39,NA,NA,Ciclo 1
TO,Araguaína,170210,0,1,16,NA,NA,Ciclo 1
TO,Palmas,172100,0,1,32,NA,NA,Ciclo 1
MA,Paço do Lumiar,210750,0,5,5,NA,NA,Ciclo 1
MA,São Luís,211130,1,5,44,NA,NA,Ciclo 1
MA,Timon,211220,0,0,37,NA,NA,Ciclo 1
PI,Parnaíba,220770,0,0,31,NA,NA,Ciclo 1
PI,Teresina,221100,2,1,79,NA,NA,Ciclo 1
CE,Caucaia,230370,0,0,46,NA,NA,Ciclo 1
CE,Fortaleza,230440,0,17,74,NA,NA,Ciclo 1
CE,Maracanaú,230765,0,15,15,NA,NA,Ciclo 1
RN,Parnamirim,240325,0,1,20,NA,NA,Ciclo 1
RN,Natal,240810,4,3,46,NA,NA,Ciclo 1
PB,João Pessoa,250750,1,11,139,NA,NA,Ciclo 1
PB,Santa Rita,251370,0,12,30,NA,NA,Ciclo 1
PE,Cabo de Santo Agostinho,260290,0,2,38,NA,NA,Ciclo 1
PE,Camaragibe,260345,0,2,37,NA,NA,Ciclo 1
PE,Igarassu,260680,0,0,31,NA,NA,Ciclo 1
PE,Jaboatão dos Guararapes,260790,0,0,90,NA,NA,Ciclo 1
PE,Olinda,260960,1,11,28,NA,NA,Ciclo 1
PE,Petrolina,261110,0,0,51,NA,NA,Ciclo 1
PE,Recife,261160,1,15,123,NA,NA,Ciclo 1
PE,São Lourenço da Mata,261370,0,0,15,NA,NA,Ciclo 1
AL,Maceió,270430,0,0,37,NA,NA,Ciclo 1
SE,Aracaju,280030,0,1,42,NA,NA,Ciclo 1
