municipio,IBGE,PMAQ1,PMAQ2,PMAQ3
Almirante Tamandaré,410040,10,6,3
Alvorada,430060,13,13,15
Aracaju,280030,43,29,43
Araguaína,170210,17,16,17
Bauru,350600,19,4,7
Belém,150140,73,42,53
Belford Roxo,330045,27,15,17
Belo Horizonte,310620,147,146,122
Bento Gonçalves,430210,22,11,11
Boa Vista,140010,36,23,32
Botucatu,350750,14,11,14
Bragança,150170,21,12,17
Brasília,530010,145,60,71
Cabo de Santo Agostinho,260290,40,37,38
Camaçari,290570,36,11,9
Camaragibe,260345,39,38,43
Campo Grande,500270,58,34,33
Canoas,430460,31,11,24
Cariacica,320130,28,10,5
Caucaia,230370,46,27,45
Caxias do Sul,430510,44,22,18
Cubatão,351350,13,6,6
Cuiabá,510340,64,50,45
Curitiba,410690,101,101,89
Dourados,500370,32,24,27
Duque de Caxias,330170,83,54,20
Florianópolis,420540,49,44,47
Fortaleza,230440,91,30,48
Goiânia,520870,84,59,61
Governador Valadares,312770,66,41,42
Guarapari,320240,21,2,14
Guarujá,351870,16,9,10
Igarassu,260680,31,25,29
Itaboraí,330190,40,25,34
Itapetininga,352230,23,9,8
Itaquaquecetuba,352310,16,1,6
Jaboatão dos Guararapes,260790,90,41,74
João Pessoa,250750,151,98,97
Juiz de Fora,313670,63,13,37
Linhares,320320,29,18,19
Luziânia,521250,28,17,19
Macapá,160030,49,25,36
Maceió,270430,37,18,35
Magé,330250,61,10,12
Manaus,130260,225,142,179
Marabá,150420,16,NA,11
Maracanaú,230765,30,27,27
Maricá,330270,23,16,17
Marituba,150442,14,12,13
Mesquita,330285,21,10,12
Natal,240810,53,34,42
Nilópolis,330320,7,9,9
Niterói,330330,40,27,36
Nossa Senhora do Socorro,280480,22,8,16
Nova Iguaçu,330350,56,31,40
Olinda,260960,40,39,39
Ourinhos,353470,17,4,5
Paço do Lumiar,210750,10,3,8
Palhoça,421190,19,19,21
Palmas,172100,33,32,32
Parauapebas,150553,15,5,9
Parnaíba,220770,31,28,32
Parnamirim,240325,21,20,28
Passo Fundo,431410,46,15,13
Petrolina,261110,51,27,39
Porto Alegre,431490,206,131,129
Porto Seguro,292530,28,33,25
Porto Velho,110012,11,10,12
Praia Grande,354100,20,16,21
Queimados,330414,13,10,10
Recife,261160,139,121,70
Resende,330420,26,20,10
Ribeirão das Neves,315460,57,30,49
Rio Branco,120040,67,22,41
Rio de Janeiro,330455,179,172,190
Rio Grande,431560,29,18,22
Sabará,315670,15,5,6
Salvador,292740,107,34,43
Santa Cruz do Sul,431680,24,11,16
Santa Luzia,315780,24,17,25
Santa Maria,431690,26,13,13
Santa Rita,251370,42,33,29
São Gonçalo,330490,130,126,108
São João de Meriti,330510,16,15,15
São José,421660,19,19,17
São Leopoldo,431870,17,9,10
São Lourenço da Mata,261370,15,24,17
São Luís,211130,50,36,47
São Mateus,320490,25,8,13
São Paulo,355030,427,265,266
Sapucaia do Sul,432000,17,14,17
Serra,320500,34,19,21
Teixeira de Freitas,293135,34,34,33
Teófilo Otoni,316860,38,24,32
Teresina,221100,82,9,23
Timon,211220,37,21,33
Vespasiano,317120,15,11,8
Viamão,432300,12,NA,12
Vila Velha,320520,16,1,8
Vitória,320530,26,22,20
